Title,Type,Priority,Estimate,References,Preconditions,Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result)
"Abrir modal de Service Request",Functional,High,,"SR_001","Usuário logado no sistema, Encontro médico ativo","Clicar no botão 'Solicitar' na seção de exames","Modal 'Exame/Procedimento' abre com header padronizado","Verificar estrutura do header","Header contém: título 'Exame/Procedimento', badge 'Nova Solicitação', botões 'Redefinir' e 'X'","Verificar estrutura do footer","Footer contém botões: 'Modelo', 'Salvar', 'Gerar PDF', 'Concluir'",,
"Selecionar categoria de solicitação",Functional,High,,"SR_002","Modal de Service Request aberto, Dropdown 'Categoria da Solicitação' visível","Clicar no dropdown 'Categoria da Solicitação'","Lista de categorias é exibida","Selecionar uma categoria válida (ex: 'imaging')","Categoria é selecionada e dropdown 'Usar Modelo' é habilitado","Verificar se o accordion 'Passo 1: Selecionar Procedimentos/Exames' fica habilitado","Accordion é expandido automaticamente com opções de busca",,
"Buscar e adicionar item à solicitação",Functional,High,,"SR_003","Categoria selecionada, Accordion 'Passo 1' expandido","Digitar termo de busca no campo 'Buscar Items'","Lista de items filtrada conforme digitação","Clicar no botão '+' de um item da lista","Item é adicionado à lista 'Items da Prescrição'","Verificar se item aparece na seção direita","Item listado com opção de remoção (botão 'x')",,
"Remover item da solicitação",Functional,Medium,,"SR_004","Pelo menos um item adicionado à solicitação","Clicar no botão 'x' de um item na lista","Item é removido da lista de solicitações","Verificar se contador de items é atualizado","Número de items reflete a remoção",,,,
"Salvar rascunho de solicitação",Functional,High,,"SR_005","Categoria selecionada, Pelo menos um item adicionado","Clicar no botão 'Salvar'","Dados são salvos e mensagem de sucesso é exibida","Verificar se badge do header muda para ID gerado","Badge mostra ID da solicitação (ex: 'SOL-12345')","Verificar se status muda para 'salvo'","Indicador de status atualizado na área de mensagens",,
"Gerar PDF da solicitação",Functional,High,,"SR_006","Solicitação salva, Pelo menos um item na solicitação","Clicar no botão 'Gerar PDF'","PDF é gerado e exibido no accordion 'Passo 2'","Verificar se accordion 'Passo 2: Revisar e Assinar' expande","Prévia do PDF visível na área de visualização","Verificar se painel de assinatura digital aparece","Opções de assinatura digital são exibidas",,
"Assinar documento digitalmente",Functional,High,,"SR_007","PDF gerado, Painel de assinatura digital visível, Certificado digital configurado","Clicar em 'Assinar com Certificado Digital'","Processo de assinatura é iniciado","Confirmar assinatura com certificado","Documento é assinado com sucesso","Verificar se link do documento assinado aparece","Link 'Solicitação Assinada' disponível na seção 'Documentos Gerados'",,
"Concluir solicitação",Functional,High,,"SR_008","PDF gerado, Documento pode estar assinado ou não","Clicar no botão 'Concluir'","Status da solicitação muda para 'completed'","Verificar se solicitação aparece no histórico","Solicitação listada na aba 'Registros Clínicos'","Verificar se modal fecha automaticamente","Modal é fechado após conclusão",,
"Salvar como modelo",Functional,Medium,,"SR_009","Categoria selecionada, Pelo menos um item adicionado","Clicar no botão 'Modelo'","Modal de salvar modelo abre","Digitar nome do modelo","Campo aceita entrada de texto","Clicar em 'Salvar'","Modelo é salvo e aparece na lista de modelos existentes",,
"Usar modelo salvo",Functional,Medium,,"SR_010","Modelo previamente salvo, Modal de Service Request aberto","Selecionar categoria correspondente ao modelo","Dropdown 'Usar Modelo' é habilitado","Selecionar modelo no dropdown 'Usar Modelo'","Formulário é preenchido com dados do modelo","Verificar se items do modelo são carregados","Items aparecem automaticamente na lista de solicitação",,
"Redefinir formulário",Functional,Medium,,"SR_011","Formulário parcialmente preenchido","Clicar no botão 'Redefinir'","Confirmação de redefinição é solicitada","Confirmar redefinição","Formulário volta ao estado inicial","Verificar se todos os campos são limpos","Dropdowns voltam ao valor padrão e lista de items é esvaziada",,
"Validação de campos obrigatórios",Validation,High,,"SR_012","Modal de Service Request aberto","Tentar salvar sem selecionar categoria","Botão 'Salvar' permanece desabilitado","Tentar gerar PDF sem items adicionados","Botão 'Gerar PDF' permanece desabilitado","Verificar mensagens de validação","Mensagens orientam sobre campos obrigatórios",,
"Teste de responsividade do modal",UI,Low,,"SR_013","Modal de Service Request aberto","Redimensionar janela do navegador","Modal se adapta mantendo usabilidade","Testar em dispositivos móveis","Layout responsivo funciona corretamente","Verificar accordion em telas pequenas","Accordions funcionam adequadamente",,
"Fechar modal com alterações não salvas",Functional,Medium,,"SR_014","Formulário com alterações não salvas","Clicar no botão 'X' para fechar","Confirmação sobre alterações não salvas é exibida","Cancelar fechamento","Modal permanece aberto com dados preservados","Confirmar fechamento","Modal fecha e alterações são perdidas",,
"Busca avançada de items",Functional,Medium,,"SR_015","Categoria selecionada, Campo de busca visível","Digitar termo parcial no campo de busca","Resultados filtrados em tempo real","Testar busca com caracteres especiais","Busca funciona com acentos e símbolos","Limpar campo de busca","Lista completa de items é restaurada",,